"Identifier","Type","Unique","required"
"is_welcome_page_valid","boolean","",""
"is_disclosure_page_valid","boolean","",""
"is_owner_info_page_valid","boolean","",""
"is_beneficiaries_page_valid","boolean","",""
"is_fee_arrangement_page_valid","boolean","",""
"is_account_notifications_page_valid","boolean","",""
"is_transfer_ira_page_valid","boolean","",""
"is_rollover_plan_page_valid","boolean","",""
"is_investment_details_page_valid","boolean","",""
"is_new_contribution_page_valid","boolean","",""
"is_payment_information_page_valid","boolean","",""
"is_review_and_sign_page_valid","boolean","",""
"session_id","uuid","yes","yes"